date,totalRevenue
2025-01-31,130497000000
2024-01-31,60922000000
2023-01-31,26974000000
2022-01-31,26914000000
2021-01-31,16675000000
2020-01-31,10918000000
2019-01-31,11716000000
2018-01-31,9714000000
2017-01-31,6910000000
2016-01-31,5010000000
2015-01-31,4682000000
2014-01-31,4130000000
2013-01-31,4280159000
2012-01-31,3997930000
