date,pe_ratio
2025-03-31,53.57641387404057
2024-12-31,44.54068718068411
2024-09-30,62.175889706523
2024-06-30,83.64671698967274
2024-03-31,67.61609061819608
2023-12-31,50.99273126775568
2023-09-30,52.97067849942953
2023-06-30,60.89985077393883
2023-03-31,56.37720862100291
2022-12-31,43.80483184685687
2022-09-30,33.86971958148213
2022-06-30,40.2679391809412
2022-03-31,44.1895101672021
2021-12-31,52.33304995132305
2021-09-30,46.577872482000615
2021-06-30,68.23411782582602
2021-03-31,63.63940590306333
2020-12-31,63.71742635278658
2020-09-30,73.34467394598599
2020-06-30,95.33624870832577
2020-03-31,68.5726209120317
2019-12-31,78.86885826033776
2019-09-30,85.87885147485977
2019-06-30,82.84359931945801
2019-03-31,63.94351117022626
2018-12-31,40.47346750895183
2018-09-30,67.5685543484158
2018-06-30,62.602762858072914
2018-03-31,57.34838008880615
2017-12-31,53.62915895423111
2017-09-30,45.87122046429178
2017-06-30,53.56701310858669
2017-03-31,34.11739975658815
2016-12-31,43.27950036826254
2016-09-30,41.94485247135162
2016-06-30,35.891440819049706
2016-03-31,37.853431701660156
2015-12-31,39.30358493450991
2015-09-30,44.58918728671231
2015-06-30,47.37590443004262
2015-03-31,36.83528355189733
2014-12-31,41.01519513486036
2014-09-30,43.62254672580295
2014-06-30,40.208776791890465
2014-03-31,43.77945761644203
2013-12-31,53.21528746349977
2013-09-30,46.18992396763392
2013-06-30,42.50509021351638
2013-03-31,40.7761956891443
2012-12-31,34.86148592025515
2012-09-30,49.644817395156686
2012-06-30,46.14065731272978
2012-03-31,47.26181785659035
2011-12-31,39.41515893051305
2011-09-30,42.32350826263428
2011-06-30,53.922371015156784
2011-03-31,44.022879489632544
2010-12-31,41.53776866633718
2010-09-30,45.49586632672478
2010-06-30,39.297873513740406
2010-03-31,48.250398797503976
