date,totalRevenue
2024-09-30,391035000000
2023-09-30,383285000000
2022-09-30,394328000000
2021-09-30,365817000000
2020-09-30,274515000000
2019-09-30,260174000000
2018-09-30,265595000000
2017-09-30,229234000000
2016-09-30,215639000000
2015-09-30,233715000000
2014-09-30,182795000000
2013-09-30,170910000000
2012-09-30,156508000000
2011-09-30,108249000000
2010-09-30,65225000000
2009-09-30,42905000000
2008-09-30,32479000000
2007-09-30,24006000000
2006-09-30,19315000000
2005-09-30,13931000000
