date,pe_ratio
2025-04-30,121.53041211864615
2025-01-31,137.5527858734131
2024-10-31,118.59800311881052
2024-07-31,128.12054541803175
2024-04-30,116.92970164500883
2024-01-31,105.37571859316353
2023-10-31,74.31829773280332
2023-07-31,82.84282503363303
2023-04-30,58.67306021756904
2023-01-31,54.343257730489555
2022-10-31,42.812102833433016
2022-07-31,51.937138556453945
2022-04-30,57.209750914652524
2022-01-31,64.92049588918402
2021-10-31,62.88642736769516
2021-07-31,63.956562129930525
2021-04-30,62.70548080029444
2021-01-31,61.5346911454886
2020-10-31,49.29204925777405
2020-07-31,52.03830930921766
2020-04-30,46.40316870425926
2020-01-31,50.18768673851376
2019-10-31,46.44172753385356
2019-07-31,47.60003274725389
2019-04-30,51.27022682819622
2019-01-31,40.18967774537232
2018-10-31,31.435286693083935
2018-07-31,36.36972971230626
2018-04-30,37.88723711107598
2018-01-31,38.47673162817955
2017-10-31,45.36673601935891
2017-07-31,47.27567347084604
2017-04-30,46.8241270318587
2017-01-31,42.81031133057986
2016-10-31,38.007612530711064
2016-07-31,43.28049260439757
2016-04-30,44.34540337724648
2016-01-31,42.566877183083186
2015-10-31,37.52141169817799
2015-07-31,42.59686810629708
2015-04-30,41.72198425436244
2015-01-31,37.31717561420641
2014-10-31,32.73902586357078
2014-07-31,41.441921203855486
2014-04-30,55.995144563562725
2014-01-31,48.54826700119745
2013-10-31,37.919550799251944
2013-07-31,40.43102264404297
2013-04-30,43.45412166030319
2013-01-31,45.04080887498527
2012-10-31,33.80838918014312
2012-07-31,40.44666796019583
2012-04-30,40.71173120717533
2012-01-31,42.73612457409239
