date,pe_ratio
2025-04-30,119.75982532751091
2025-01-31,135.95633027855484
2024-10-31,130.78340451288884
2024-07-31,115.12558338253997
2024-04-30,113.8235326756768
2024-01-31,121.44019021942286
2023-10-31,95.47343231053745
2023-07-31,110.98953167181365
2023-04-30,125.67096341040826
2023-01-31,115.67742132371471
2022-10-31,126.05882532456343
2022-07-31,131.10303474195075
2022-04-30,132.36363550999783
2022-01-31,166.52666219075522
2021-10-31,238.8045002643327
2021-07-31,265.3966982502583
2021-04-30,283.40777054573726
2021-01-31,235.1101632845604
2020-10-31,226.4807627751277
2020-07-31,241.25509456712373
2020-04-30,220.15294692095588
2020-01-31,213.96739793860394
2019-10-31,188.92307770557892
2019-07-31,240.26153564453125
2019-04-30,396.02223714192706
2019-01-31,319.9999933657439
2018-10-31,445.68965517241384
2018-07-31,676.0000128495066
2018-04-30,2098.3333587646484
2018-01-31,-1284.6666971842449
2017-10-31,-1041.333325703939
2017-07-31,-1007.181826504794
2017-04-30,-562.9374980926514
2017-01-31,-290.49998692103793
2016-10-31,-401.5555487738715
2016-07-31,1189.000015258789
2016-04-30,-598.1999969482422
2016-01-31,222.95237949916296
2015-10-31,394.21427590506414
2015-07-31,266.21053595291943
2015-04-30,189.43333943684897
2015-01-31,216.0399932861328
2014-10-31,230.16000366210938
2014-07-31,152.42856706891743
2014-04-30,150.06250143051147
2014-01-31,128.125
2013-10-31,97.31707689238758
2013-07-31,78.64444308810764
2013-04-30,93.76190730503627
2013-01-31,73.3584925813495
2012-10-31,67.76595825844623
2012-07-31,70.6666628519694
2012-04-30,83.76595517422291
2012-01-31,78.26086956521739
2011-10-31,78.63636016845703
2011-07-31,78.18182164972478
2011-04-30,112.44999885559082
2011-01-31,116.22857230050224
2010-10-31,113.12500238418579
2010-07-31,82.05555809868707
2010-04-30,117.20690233954069
2010-01-31,79.30000305175781
