date,totalRevenue
2024-09-30,38962000000
2023-09-30,35820000000
2022-09-30,44200000000
2021-09-30,33566000000
2020-09-30,23531000000
2019-09-30,24273000000
2018-09-30,22732000000
2017-09-30,22291000000
2016-09-30,23554000000
2015-09-30,25281000000
2014-09-30,26487000000
2013-09-30,24866000000
2012-09-30,19121000000
2011-09-30,14957000000
2010-09-30,10991000000
