date,totalRevenue
2025-01-31,6131000000
2024-01-31,5440000000
2023-01-31,5005000000
2022-01-31,4386400000
2021-01-31,3790400000
2020-01-31,3274300000
2019-01-31,2569800000
2018-01-31,2056600000
2017-01-31,2031000000
2016-01-31,2504100000
2015-01-31,2512200000
2014-01-31,2273900000
2013-01-31,2312200000
2012-01-31,2215600000
2011-01-31,1951800000
2010-01-31,1713700000
