date,pe_ratio
2025-05-31,49.40898955180383
2025-02-28,59.8848147270007
2024-11-30,54.527278452612165
2024-08-31,81.1796737929522
2024-05-31,200.49906084614415
2024-02-29,214.33931986490887
2023-11-30,-79.50035496761924
2023-08-31,-64.74582992981527
2023-05-31,-47.15218177208534
2023-02-28,-29.86905762038306
2022-11-30,-1418.8252449035645
2022-08-31,38.298797607421875
2022-05-31,27.952242818118062
2022-02-28,40.65595252491603
2021-11-30,38.03596496582031
2021-08-31,29.74502311265173
2021-05-31,43.71262814136262
2021-02-28,91.22199233697386
2020-11-30,80.25237352420122
2020-08-31,41.157146736427585
2020-05-31,57.065624144019154
2020-02-29,114.07884385850694
2019-11-30,96.67317867279053
2019-08-31,78.95592280796595
2019-05-31,30.333588009788876
2019-02-28,23.349467495031526
2018-11-30,12.68068820940525
2018-08-31,14.531559714514541
2018-05-31,17.85659911140563
2018-02-28,16.90526380606577
2017-11-30,16.89893917161591
2017-08-31,15.458004073341295
2017-05-31,18.551315495997297
2017-02-28,25.43766869439019
2016-11-30,59.60935950279236
2016-08-31,-322.11631774902344
2016-05-31,-155.29567003250122
2016-02-29,-207.64690399169922
2015-11-30,64.82861439387004
2015-08-31,43.31806801460885
2015-05-31,50.51721643518518
2015-02-28,36.98204888237847
2014-11-30,36.1983977642256
2014-08-31,38.8298709218095
2014-05-31,35.346733769284015
2014-02-28,27.7958028456744
2013-11-30,28.622802098592125
2013-08-31,66.26925468444824
2013-05-31,285.1970434188843
2013-02-28,-29.231309890747067
2012-11-30,-21.59597078959147
2012-08-31,-25.272172689437866
2012-05-31,-17.824815213680267
2012-02-29,-28.79588028480267
2011-11-30,-30.791824742367393
2011-08-31,-41.23079776763915
2011-05-31,142.31948852539062
2011-02-28,155.29568535940987
2010-11-30,47.33750343322754
2010-08-31,19.717177748680115
2010-05-31,19.72938749525282
2010-02-28,22.689540569598858
