date,totalRevenue
2024-12-31,25785000000
2023-12-31,22680000000
2022-12-31,23601000000
2021-12-31,16434000000
2020-12-31,9763000000
2019-12-31,6731000000
2018-12-31,6475000000
2017-12-31,5329000000
2016-12-31,4272000000
2015-12-31,3991000000
2014-12-31,5506000000
2013-12-31,5299000000
2012-12-31,5422000000
