date,pe_ratio
2025-03-31,107.02083110809326
2024-12-31,110.81651460140122
2024-09-30,178.34782807723334
2024-06-30,235.08696625198144
2024-03-31,291.11291208574846
2023-12-31,191.44156319754464
2023-09-30,146.8857138497489
2023-06-30,196.39655803811962
2023-03-31,163.35000356038412
2022-12-31,93.86956035227016
2022-09-30,94.56716509007695
2022-06-30,72.82857259114583
2022-03-31,96.76105870609791
2021-12-31,156.41303684400475
2021-09-30,140.95890619983413
2021-06-30,149.0952385796441
2021-03-31,150.96153846153845
2020-12-31,176.3653828547551
2020-09-30,199.97560454577936
2020-06-30,292.2777811686198
2020-03-31,252.66666412353516
2019-12-31,143.31250190734863
2019-09-30,161.0555542839898
2019-06-30,379.6250104904175
2019-03-31,425.3333409627279
2018-12-31,230.7499885559082
2018-09-30,237.6153799203726
2018-06-30,107.07142693655831
2018-03-31,91.36363809758967
2017-12-31,128.4999966621399
2017-09-30,127.5
2017-06-30,623.9999771118164
2017-03-31,-363.7500047683716
2016-12-31,-1134.000015258789
2016-09-30,230.3333282470703
2016-06-30,-102.79999732971191
2016-03-31,-23.749999205271404
2015-12-31,-28.69999885559082
2015-09-30,-10.117647227118995
2015-06-30,-14.11764761980842
2015-03-31,-29.77777851952447
2014-12-31,-29.66666751437717
2014-09-30,113.66666952768962
2014-06-30,209.50000286102295
2014-03-31,200.5000114440918
2013-12-31,64.49999809265137
2013-09-30,95.24999856948853
2013-06-30,-45.33333248562283
2013-03-31,-19.6153842485868
2012-12-31,-17.14285782405308
2012-09-30,-16.84999942779541
2012-06-30,95.50000031789145
2012-03-31,66.83333714803061
