date,totalRevenue
2024-10-31,51574000000
2023-10-31,35819000000
2022-10-31,33203000000
2021-10-31,27450000000
2020-10-31,23888000000
2019-10-31,22597000000
2018-10-31,20848000000
2017-10-31,17636000000
2016-10-31,13240000000
2015-10-31,6824000000
2014-10-31,4269000000
2013-10-31,2520000000
2012-10-31,2364000000
